epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.49444443,0.474847913,1.00E-04,0.460978836,1.759717822
1,0.525568962,0.365316778,1.00E-04,0.463888884,1.230617762
2,0.574698806,0.303350568,1.00E-04,0.535582006,0.777445734
3,0.578580976,0.273611844,1.00E-04,0.413756609,1.072951078
4,0.591265082,0.23052232,1.00E-04,0.446296304,1.315932989
5,0.607663989,0.194561675,1.00E-04,0.429761916,0.85966903
6,0.633902252,0.168088391,1.00E-04,0.485582024,1.173086286
7,0.669076324,0.092011645,2.00E-05,0.482671946,1.278695226
8,0.689558208,0.052593984,2.00E-05,0.501322746,1.424132228
9,0.697289169,0.033183664,2.00E-05,0.487037033,1.417529821
